Don Derek Haddad|https://dblp.org/pers/hd/h/Haddad:Don_Derek|MIT Media Lab, Cambridge, MA, USA
Mohammad Hadhrawi|https://dblp.org/pers/hd/h/Hadhrawi:Mohammad|
Martin Harris|https://dblp.org/pers/hd/h/Harris:Martin|
William L. Haskell|https://dblp.org/pers/hd/h/Haskell:William_L=|
Tobias Holtz|https://dblp.org/pers/hd/h/Holtz:Tobias|
Henry Holtzman|https://dblp.org/pers/hd/h/Holtzman:Henry|
Jee Yeon Hwang|https://dblp.org/pers/hd/h/Hwang:Jee_Yeon|
Stephen S. Intille|https://dblp.org/pers/hd/i/Intille:Stephen_S=|Northeastern University, Boston, MA, USA
Bonnie Kaplan|https://dblp.org/pers/hd/k/Kaplan:Bonnie|
Pallavi Kaushik|https://dblp.org/pers/hd/k/Kaushik:Pallavi|
Abby King|https://dblp.org/pers/hd/k/King:Abby|
Johannes Kröger|https://dblp.org/pers/hd/k/Kr=ouml=ger:Johannes|
Chuck Kukla|https://dblp.org/pers/hd/k/Kukla:Chuck|
Thomas Sanchez Lengeling|https://dblp.org/pers/hd/l/Lengeling:Thomas_Sanchez|
Louis Lopez|https://dblp.org/pers/hd/l/Lopez:Louis|
Jay Lundell|https://dblp.org/pers/hd/l/Lundell:Jay|
Kevin Lyons|https://dblp.org/pers/hd/l/Lyons:Kevin|
Núria Macià|https://dblp.org/pers/hd/m/Maci=agrave=:N=uacute=ria|
Ron MacNeil|https://dblp.org/pers/hd/m/MacNeil:Ron|
Luana Marrocco|https://dblp.org/pers/hd/m/Marrocco:Luana|
Henrique M. G. Martins|https://dblp.org/pers/hd/m/Martins:Henrique_M=_G=|
Alexandra Millonig|https://dblp.org/pers/hd/m/Millonig:Alexandra|TU Wien, Vienna, Austria
Takehiko Nagakura|https://dblp.org/pers/hd/n/Nagakura:Takehiko|
Jason Nawyn|https://dblp.org/pers/hd/n/Nawyn:Jason|
Jörg Rainer Noennig|https://dblp.org/pers/hd/n/Noennig:J=ouml=rg_Rainer|TU Dresden, Faculty of Architecture
Ariel Noyman|https://dblp.org/pers/hd/n/Noyman:Ariel|
Sheng-Ying Pao|https://dblp.org/pers/hd/p/Pao:Sheng=Ying|
Dimitris Papanikolaou|https://dblp.org/pers/hd/p/Papanikolaou:Dimitris|
Randy Rockinson|https://dblp.org/pers/hd/r/Rockinson:Randy|
John Rondoni|https://dblp.org/pers/hd/r/Rondoni:John|
Yasushi Sakai|https://dblp.org/pers/hd/s/Sakai:Yasushi|
Katja Schechtner|https://dblp.org/pers/hd/s/Schechtner:Katja|
Stefan Seer|https://dblp.org/pers/hd/s/Seer:Stefan|
Carson Smuts|https://dblp.org/pers/hd/s/Smuts:Carson|
Flavia Sparacino|https://dblp.org/pers/hd/s/Sparacino:Flavia|
Agnis Stibe|https://dblp.org/pers/hd/s/Stibe:Agnis|
Emmanuel Munguia Tapia|https://dblp.org/pers/hd/t/Tapia:Emmanuel_Munguia|
Michael Webb|https://dblp.org/pers/hd/w/Webb:Michael|
Roy E. Welsch|https://dblp.org/pers/hd/w/Welsch:Roy_E=|
Julie A. Wright|https://dblp.org/pers/hd/w/Wright:Julie_A=|
Matthias Wunsch|https://dblp.org/pers/hd/w/Wunsch:Matthias|
Jenny Xie|https://dblp.org/pers/hd/x/Xie:Jenny|
Wanqin Xie|https://dblp.org/pers/hd/x/Xie:Wanqin|
Yan Zhang|https://dblp.org/pers/hd/z/Zhang:Yan|
Pietro Ducange|https://dblp.org/pers/hd/d/Ducange:Pietro|University of Pisa, Italy
Rafael Alcalá|https://dblp.org/pers/hd/a/Alcal=aacute=:Rafael|
