Francisco José Berlanga|https://dblp.org/pers/hd/b/Berlanga:Francisco_Jos=eacute=|
Antonio González Muñoz|https://dblp.org/pers/hd/g/Gonz=aacute=lez_0005:Antonio|University of Granada, Department of Computer Science and Artificial Ingelligence, Spain
Raúl Pérez|https://dblp.org/pers/hd/p/P=eacute=rez:Ra=uacute=l|
José Ramón Cano|https://dblp.org/pers/hd/c/Cano:Jos=eacute=_Ram=oacute=n|
Pedro Villar|https://dblp.org/pers/hd/v/Villar:Pedro|
Igor Zwir|https://dblp.org/pers/hd/z/Zwir:Igor|
Antonio González|https://dblp.org/pers/hd/g/Gonz=aacute=lez:Antonio|
Simona Settepanella|https://dblp.org/pers/hd/s/Settepanella:Simona|
Carlo Vallati|https://dblp.org/pers/hd/v/Vallati:Carlo|
Sajal K. Das 0001|https://dblp.org/pers/hd/d/Das_0001:Sajal_K=|Missouri University of Science and Technology, Department of Computer Science, Rolla, MO, USA
Marco Tiloca|https://dblp.org/pers/hd/t/Tiloca:Marco|
Gianluca Dini|https://dblp.org/pers/hd/d/Dini:Gianluca|University of Pisa, Italy
Alessandra De Paola|https://dblp.org/pers/hd/p/Paola:Alessandra_De|
Andrea Giammanco|https://dblp.org/pers/hd/g/Giammanco:Andrea|
Giuseppe Lo Re|https://dblp.org/pers/hd/r/Re:Giuseppe_Lo|
Benedetto Girgenti|https://dblp.org/pers/hd/g/Girgenti:Benedetto|
Pericle Perazzo|https://dblp.org/pers/hd/p/Perazzo:Pericle|
Francesca Righetti|https://dblp.org/pers/hd/r/Righetti:Francesca|
Daniela Comola|https://dblp.org/pers/hd/c/Comola:Daniela|
Giacomo Tanganelli|https://dblp.org/pers/hd/t/Tanganelli:Giacomo|
Enzo Mingozzi|https://dblp.org/pers/hd/m/Mingozzi:Enzo|University of Pisa, Italy
Dario Varano|https://dblp.org/pers/hd/v/Varano:Dario|
Maurizio Palmieri|https://dblp.org/pers/hd/p/Palmieri:Maurizio|
Sergio Saponara|https://dblp.org/pers/hd/s/Saponara:Sergio|
Filippo Giannetti|https://dblp.org/pers/hd/g/Giannetti:Filippo|University of Pisa, Italy
